iteration,scenario,metric,run,score
1st iteration,Food Logistics FS-Persona-cot,DLC,r5,50.0
1st iteration,Food Logistics FS-Persona-cot,RAC,r1,100.0
1st iteration,Food Logistics FS-Persona-cot,RAC,r2,66.0
1st iteration,Food Logistics FS-Persona-cot,RAC,r3,100.0
1st iteration,Food Logistics FS-Persona-cot,RAC,r4,100.0
1st iteration,Food Logistics FS-Persona-cot,RAC,r5,100.0
1st iteration,Food Logistics ZS-Persona-cot,T,r1,95.0
1st iteration,Food Logistics ZS-Persona-cot,T,r2,100.0
1st iteration,Food Logistics ZS-Persona-cot,T,r3,100.0
1st iteration,Food Logistics ZS-Persona-cot,T,r4,100.0
1st iteration,Food Logistics ZS-Persona-cot,T,r5,100.0
1st iteration,Food Logistics ZS-Persona-cot,MAI,r1,86.0
1st iteration,Food Logistics ZS-Persona-cot,MAI,r2,50.0
1st iteration,Food Logistics ZS-Persona-cot,MAI,r3,78.0
1st iteration,Food Logistics ZS-Persona-cot,MAI,r4,95.0
1st iteration,Food Logistics ZS-Persona-cot,MAI,r5,93.0
1st iteration,Food Logistics ZS-Persona-cot,GTC_A,r1,100.0
1st iteration,Food Logistics ZS-Persona-cot,GTC_A,r2,100.0
1st iteration,Food Logistics ZS-Persona-cot,GTC_A,r3,100.0
1st iteration,Food Logistics ZS-Persona-cot,GTC_A,r4,100.0
1st iteration,Food Logistics ZS-Persona-cot,GTC_A,r5,100.0
1st iteration,Food Logistics ZS-Persona-cot,GTC_Q,r1,100.0
1st iteration,Food Logistics ZS-Persona-cot,GTC_Q,r2,100.0
1st iteration,Food Logistics ZS-Persona-cot,GTC_Q,r3,100.0
1st iteration,Food Logistics ZS-Persona-cot,GTC_Q,r4,100.0
1st iteration,Food Logistics ZS-Persona-cot,GTC_Q,r5,100.0
1st iteration,Food Logistics ZS-Persona-cot,GTC_P,r1,100.0
1st iteration,Food Logistics ZS-Persona-cot,GTC_P,r2,100.0
1st iteration,Food Logistics ZS-Persona-cot,GTC_P,r3,100.0
1st iteration,Food Logistics ZS-Persona-cot,GTC_P,r4,100.0
1st iteration,Food Logistics ZS-Persona-cot,GTC_P,r5,100.0
1st iteration,Food Logistics ZS-Persona-cot,IC,r1,100.0
1st iteration,Food Logistics ZS-Persona-cot,IC,r2,50.0
1st iteration,Food Logistics ZS-Persona-cot,IC,r3,91.0
1st iteration,Food Logistics ZS-Persona-cot,IC,r4,91.0
1st iteration,Food Logistics ZS-Persona-cot,IC,r5,75.0
1st iteration,Food Logistics ZS-Persona-cot,NR,r1,100.0
1st iteration,Food Logistics ZS-Persona-cot,NR,r2,100.0
1st iteration,Food Logistics ZS-Persona-cot,NR,r3,100.0
1st iteration,Food Logistics ZS-Persona-cot,NR,r4,100.0
1st iteration,Food Logistics ZS-Persona-cot,NR,r5,100.0
1st iteration,Food Logistics ZS-Persona-cot,DLC,r1,75.0
1st iteration,Food Logistics ZS-Persona-cot,DLC,r2,50.0
1st iteration,Food Logistics ZS-Persona-cot,DLC,r3,100.0
1st iteration,Food Logistics ZS-Persona-cot,DLC,r4,50.0
1st iteration,Food Logistics ZS-Persona-cot,DLC,r5,100.0
1st iteration,Food Logistics ZS-Persona-cot,RAC,r1,100.0
1st iteration,Food Logistics ZS-Persona-cot,RAC,r2,66.0
